message,selected_messages,sentiment
 i dont know what lender it was yea these people definitely sucked butt toes not friendly or helpful,dont know lender yea people definitely sucked butt toes friendly helpful,negative
nin app gets rejected by apple reznor threatens to go jailbreak  always entertaining  httpviigoimsxb,nin app gets rejected apple reznor threatens go jailbreak always entertaining httpviigoimsxb,negative
 same  also trying to get my house ready to sell i cant believe how much  i own ,also trying get house ready sell cant believe much,negative
 i like to support my friends  its sad that im your only friend though,like support friends sad im friend though,negative
 omedetou thats truly exciting but expected news decisions decisions  please let me know as soon as you know,omedetou thats truly exciting expected news decisions decisions please let know soon know,positive
its friday and im sick story of my life,friday im sick story life,negative
fo showww,fo showww,neutral
just came back from a nice bike ride with her family and is now refreshed thanks to a shower,came back nice bike ride family refreshed thanks shower,positive
httptwitpiccomwjai  joes the photographer of the family rehearsing is always fun for the first couple of days it is at least,httptwitpiccomwjai joes photographer family rehearsing always fun first couple days least,positive
have a slight headache,slight headache,negative
 yes you do,yes,positive
alexander ovechkin is definitely my new favorite nhl player,alexander ovechkin definitely new favorite nhl player,positive
  we forgive you and we have missed you,forgive missed,neutral
i miss our walks home together,miss walks home together,negative
 haha i am aware of how one contracts a uti  and i have training for work at  tomorrow morning so i have to go to bed early,haha aware one contracts uti training work tomorrow morning go bed early,neutral
so this my last week of school then finals yesss,last week school finals yesss,neutral
finished new moon woo now i want the next one,finished new moon woo want next one,positive
im tweeting this is so hard i dont get it,im tweeting hard dont get,negative
httptwitpiccomwcy  cracking myself more  more up  phootoboothingisfunforbunny volumen eins,httptwitpiccomwcy cracking phootoboothingisfunforbunny volumen eins,positive
aw  the grillz in my background look like plaque ,aw grillz background look like plaque,neutral
  the construction lookd familar,construction lookd familar,neutral
i like taking my dogs with me in the car when i run errands they are always excited to go anywhere like this morning to krogers,like taking dogs car run errands always excited go anywhere like morning krogers,positive
just an observation aside from the riverwalk there are pretty much no cute girls in downtown sa,observation aside riverwalk pretty much cute girls downtown sa,neutral
looking to sketch final catwalk outfit i really really want my long pink hair back i also want to dye my models hair pink not allowed,looking sketch final catwalk outfit really really want long pink hair back also want dye models hair pink allowed,positive
 ohh yeh  but he was on sexy men so its okay,ohh yeh sexy men okay,neutral
 hey look whos on twitter   very kewl,hey look whos twitter kewl,positive
blahh im tired and i gotta go to the airport to pick my mom up  im bored but on the upside im listening to the backstreet boys,blahh im tired got ta go airport pick mom im bored upside im listening backstreet boys,negative
says happy mothers day,says happy mothers day,positive
 youre not here i hope youre still resting  i dont want you to be stressed,youre hope youre still resting dont want stressed,positive
going to ikea with the roomie so she can shop for her apartment ikea is in like my top ten stores that i love,going ikea roomie shop apartment ikea like top ten stores love,positive
where is the sun,sun,neutral
 it wont work for me,wont work,negative
wow what a lovely day shame i have to clean my room,wow lovely day shame clean room,neutral
i just reading a magazine,reading magazine,neutral
good nighthave to get up so early tomorrow,good nighthave get early tomorrow,positive
 ill use that for my next defense,ill use next defense,neutral
 yeah but too late  lol,yeah late lol,negative
 lol she is okay its just he songs are so catchy they get stuck in my head,lol okay songs catchy get stuck head,positive
 oh awesome i have yahooo  good night sleep tight dont let the bed bugs bite,oh awesome yahooo good night sleep tight dont let bed bugs bite,positive
 not allowed to call as i live in the uk my parents say it will cost to much  sucks ,allowed call live uk parents say cost much sucks,negative
 oh ive got that one  the stp x step one on vhs tried connecting our video to harddrive to copy to dvd but didnt work,oh ive got one stp x step one vhs tried connecting video harddrive copy dvd didnt work,neutral
i wanna watch pcd concert dad,wan na watch pcd concert dad,neutral
 its not a starfleet one  its not even a romulin one  its like the random one i dont remember ha and you cant wear it lame,starfleet one even romulin one like random one dont remember ha cant wear lame,negative
man monday sucks what i wouldnt give to be a rich beach bum diving in a tropical lagoon every day eating fresh fruit and fishahhh,man monday sucks wouldnt give rich beach bum diving tropical lagoon every day eating fresh fruit fishahhh,negative
 it wont let me,wont let,neutral
_megan_ thats all ive seen too    till  is the  hours i normally sleep so i missed it mad haha,_megan_ thats ive seen till hours normally sleep missed mad haha,negative
stopped working on the  image database awhile ago to help greg with his term paper now chit chatting with greg,stopped working image database awhile ago help greg term paper chit chatting greg,neutral
boy is all graduated  so proud of him,boy graduated proud,positive
going to see star trek,going see star trek,neutral
we actually have milestones due for  high profile projects in the next  weeks  they are all scheduled when i am on vacation ,actually milestones due high profile projects next weeks scheduled vacation,neutral
i wanna be in michi with my moma love you mom,wan na michi moma love mom,positive
 thanks,thanks,positive
_carter the video is private,_carter video private,neutral
laying in bed with a book  some beautiful music  thank you kaki  nicholas sparks,laying bed book beautiful music thank kaki nicholas sparks,positive
